url,name,category,description,primary_language,domain,architecture_type,key_functions,dependency_management
https://github.com/prysmaticlabs/prysm,Prysm,consensus_client,Ethereum 2.0 client implementation built by Prysmatic Labs,Go,Ethereum Client,Client-Server,"Beacon chain validation|Block proposal|Attestation processing|P2P networking|Validator management",package_manager|runtime_required|conservative_updates
https://github.com/sigp/lighthouse,Lighthouse,consensus_client,Ethereum 2.0 client implementation written in Rust,Rust,Ethereum Client,Client-Server,"Consensus validation|High-performance block processing|Built-in validator|Slashing protection|Remote signing",package_manager|runtime_required|conservative_updates
https://github.com/consensys/teku,Teku,consensus_client,Java implementation of the Ethereum 2.0 Beacon Chain,Java,Ethereum Client,Client-Server,"Beacon chain operations|Enterprise-grade reliability|RESTful API|Validator client|Web3Signer integration",package_manager|runtime_required|conservative_updates
https://github.com/status-im/nimbus-eth2,Nimbus,consensus_client,Ethereum 2.0 client focused on resource efficiency,Nim,Ethereum Client,Client-Server,"Low resource usage|Mobile and IoT optimization|Validator operations|Light client support|Research implementations",package_manager|runtime_required|conservative_updates
https://github.com/chainsafe/lodestar,Lodestar,consensus_client,TypeScript implementation of Ethereum 2.0,TypeScript,Ethereum Client,Client-Server,"Full consensus client|Light client implementation|Browser compatibility|Developer-friendly APIs|Modular architecture",package_manager|runtime_required|automated_updates
https://github.com/grandinetech/grandine,Grandine,consensus_client,High-performance Ethereum consensus client,Rust,Ethereum Client,Client-Server,"High-performance validation|Optimized block processing|Low latency operations|Efficient resource usage|Scalable architecture",package_manager|runtime_required|conservative_updates
https://github.com/ethereum/go-ethereum,Geth,execution_client,Official Go implementation of the Ethereum protocol,Go,Ethereum Client,Client-Server,"Transaction execution|State management|Mining/validation|JSON-RPC API|P2P networking",package_manager|runtime_required|conservative_updates
https://github.com/nethermindeth/nethermind,Nethermind,execution_client,.NET Core Ethereum client for Linux Windows MacOS,C#,Ethereum Client,Client-Server,"Fast sync|Enterprise features|JSON-RPC API|Mining support|Cross-platform execution",package_manager|runtime_required|conservative_updates
https://github.com/hyperledger/besu,Besu,execution_client,Enterprise-focused Ethereum client by Hyperledger,Java,Ethereum Client,Client-Server,"Enterprise integration|Permissioned networks|Privacy features|Consensus algorithms|Monitoring and metrics",package_manager|runtime_required|conservative_updates
https://github.com/erigontech/erigon,Erigon,execution_client,Ethereum implementation focused on efficiency and modularity,Go,Ethereum Client,Modular,"Efficient storage|Fast sync|Archive node optimization|Modular design|RPC services",package_manager|runtime_required|conservative_updates
https://github.com/paradigmxyz/reth,Reth,execution_client,New Ethereum execution layer implementation in Rust,Rust,Ethereum Client,Modular,"High performance|Modular architecture|Database optimization|Node operation|Developer tools",package_manager|runtime_required|conservative_updates
https://github.com/a16z/helios,Helios,light_client,Fast Ethereum light client written in Rust,Rust,Light Client,Client,"Light verification|Fast sync|Low resource usage|Trustless operation|RPC compatibility",package_manager|runtime_required|conservative_updates
https://github.com/alloy-rs/alloy,Alloy,development_framework,Modern Ethereum development framework for Rust,Rust,Development Framework,Library,"Type-safe Ethereum interactions|Provider abstraction|Contract bindings|Transaction building|RPC client",package_manager|runtime_required|automated_updates
https://github.com/apeworx/ape,Ape,development_framework,Smart contract development framework for Ethereum,Python,Development Framework,Framework,"Contract development|Testing framework|Plugin system|Network management|CLI tools",package_manager|runtime_required|automated_updates
https://github.com/foundry-rs/foundry,Foundry,development_framework,Blazingly fast toolkit for Ethereum application development,Rust,Development Framework,Toolkit,"Smart contract compilation|Testing|Deployment|Interaction scripts|Gas optimization",package_manager|runtime_required|conservative_updates
https://github.com/nomicfoundation/hardhat,Hardhat,development_framework,Ethereum development environment for professionals,TypeScript,Development Framework,Framework,"Contract compilation|Local blockchain|Testing suite|Task automation|Plugin ecosystem",package_manager|runtime_required|automated_updates
https://github.com/eth-infinitism/account-abstraction,Account Abstraction,infrastructure,Reference implementation for ERC-4337 account abstraction,Solidity,Smart Contract Platform,Protocol,"Account abstraction|Bundler operations|Paymaster contracts|Entry point logic|Wallet infrastructure",package_manager|build_time_only|manual_updates
